Lettre	Date	Lieu de création	Auteur	Destinataire	Personnes mentionnées	Lieux mentionnés	Œuvres mentionnées
1876_02	1876-02-09	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Edwards, Edwin Edwards, Ruth Deschamps, Charles W. Manet, Edouard Berlioz, Hector Zola, Émile Wagner, Richard Dubourg, Victoria Scholderer, Luise Philippine Conradine Dubourg, Jean-Theodore	Londres, Royal Academy of Arts Grenoble, Musée de Grenoble Paris, Salon	S Selbstbildnis (autoportrait) F L'anniversiversaire F Fleurs (bouquet de dahlias) F Un atelier aux Batignolles F L'anniversiversaire F L'anniversiversaire
1876_03	1876-03-12	Putney	Scholderer, Otto	Fantin-Latour, Henri	Morrison, Madame Manet, Edouard Degas, Edgar Whistler, James Abbott MacNeill Edwards, Edwin Edwards, Ruth Millet, Jean-François Sickert, Oswald Adalbert White, Mrs. Berlioz, Hector Scholderer, Luise Philippine Conradine Dubourg, Victoria Dubourg, Hélène	Londres, Royal Academy of Arts Londres Paris Paris, Salon	S Selbstbildnis (autoportrait) S Porträt der Miss Chermside (Portrait de Mrs Chermside) S Porträt einer alten Dame, Mrs. White (portrait d'une femme âgée, Mrs. White) S Mrs Tom Plews S General Viscount Templetown (général vicomte Templetown) S Oswald Sickert F L'anniversiversaire F Édouard Manet F Portrait de Mr et Mrs Edwin Edwards F Fleurs (bouquet de dahlias)
1876_04	1876-04-12	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Scholderer, Luise Philippine Conradine Manet, Edouard Rubens, Pierre-Paul Dubourg, Victoria Edwards, Ruth Delacroix, Eugène	Londres, Royal Academy of Arts Londres Paris, Musée du Louvre Paris, Salon	F L'anniversiversaire S Selbstbildnis (autoportrait) S Porträt der Miss Chermside (Portrait de Mrs Chermside) S Porträt einer alten Dame, Mrs. White (portrait d'une femme âgée, Mrs. White) S Mrs Tom Plews F Copie d'après Femmes d'Alger dans leur appartement (1834) de Delacroix S Oswald Sickert S General Viscount Templetown (général vicomte Templetown)
1876_05	1876-05-19	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Edwards, Edwin Edwards, Ruth Deschamps, Charles W. Whistler, James Abbott MacNeill Scholderer, Luise Philippine Conradine Degas, Edgar Dubourg, Victoria	Londres, Royal Academy of Arts Paris, Salon	F L'anniversiversaire F Fruits (Raisin sortant d'un panier et grenade) F Giroflées et cerisier sauvage en fleurs F Fleurs (bouquet de dahlias) S Dame am Strand  ; wohl Luise Scholderer in Littlehampton (dame à la plage, vraisemblablement Louise Scholderer à Littlehampton) F Portrait de Mr et Mrs Edwin Edwards
1876_06	1876-05-28	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Lhermitte, Léon Edwards, Ruth Edwards, Edwin Deschamps, Charles W. Dubourg, Victoria Scholderer, Luise Philippine Conradine Esch, Mlle Wagner, Richard	Londres Paris, Salon Bayreuth	F L'anniversiversaire F Fleurs (bouquet de dahlias)
1876_07	1876-06-11	Putney	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Luise Philippine Conradine Lhermitte, Léon Legros, Alphonse Edwards, Edwin Edwards, Ruth Esch, Mlle Dubourg, Victoria Dubourg, Hélène Dubourg, Jean-Theodore Manet, Edouard Maître, Edmond	Paris, Exposition Manet, avenue Montaigne Londres, Royal Academy of Arts Paris Paris, Musée du Louvre Londres, Dudley Gallery Paris, Salon	F L'anniversiversaire F Fleurs (bouquet de dahlias)
1876_08	1876-06-26	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Edwards, Ruth Manet, Edouard Monet, Claude Pissarro, Camille Durand-Ruel, Paul Dubourg, Charlotte Dubourg, Jean-Theodore Dubourg, Hélène Dubourg, Victoria Scholderer, Luise Philippine Conradine Berlioz, Hector	Paris, Exposition impressionniste, 2e exposition, galerie Durand-Ruel Paris, Exposition Manet, avenue Montaigne Paris, galerie Durand-Ruel Paris, Salon	F Fleurs (bouquet de dahlias) F L'anniversiversaire F Fleurs (roses jaunes dans un verre haut)
1876_09	1876-07	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Luise Philippine Conradine Edwards, Edwin Dubourg, Victoria		F Fleurs (roses jaunes dans un verre haut) F L'anniversiversaire F Fleurs (bouquet de dahlias)
1876_10	1876-08-02	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Scholderer, Luise Philippine Conradine Edwards, Ruth Edwards, Edwin Dubourg, Victoria	Bayreuth	F Fleurs (bouquet de dahlias)
1876_11	1876-08-06	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Luise Philippine Conradine Dubourg, Victoria Esch, Mlle Edwards, Edwin Edwards, Ruth Keene, Charles Samuel Whistler, James Abbott MacNeill		
1876_12	1876-08-12	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Edwards, Ruth Dubourg, Charlotte Dubourg, Jean-Theodore Dubourg, Hélène Dubourg, Victoria Scholderer, Luise Philippine Conradine		
1876_13	1876-08-30	Bayreuth	Fantin-Latour, Henri	Scholderer, Otto	Wagner, Richard Scholderer, Luise Philippine Conradine Cornelius, Peter von Lascoux, Antoine Maître, Edmond	Paris Munich Francfort-sur-le-Main Heidelberg Bayreuth	
1876_14	1876-09-11	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Scholderer, Luise Philippine Conradine Dubourg, Victoria Rembrandt Thoma, Hans Edwards, Edwin Edwards, Ruth Cornelius, Peter von Lenbach, Franz Seraph von Wagner, Richard	Berlin-Ouest, Nationalgalerie Nancy Nuremberg Munich Francfort-sur-le-Main Augsbourg Stuttgart Munich, Glyptothèque Ratisbonne Paris, École nationale des beaux-arts Bayreuth	
1876_15	1876-10-12	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Luise Philippine Conradine Wagner, Richard Mendelssohn Cornelius, Peter von Lenbach, Franz Seraph von Leibl, Wilhelm Menzel, Adolph Edwards, Edwin Dubourg, Victoria Frédéric II de Prusse Degas, Edgar Manet, Edouard	Paris Munich Munich, galerie Schack	F Pieds-d'alouette F Pivoines F Baigneuse inquiète F Baigneuse debout
1876_16	1876-11-03	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Scholderer, Luise Philippine Conradine Dubourg, Victoria Edwards, Edwin Edwards, Ruth Wagner, Richard	Londres Londres, Dudley Gallery	F Pieds-d'alouette F Baigneuse inquiète F Baigneuse debout
1876_17	1876-11-12	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Luise Philippine Conradine Dubourg, Victoria Edwards, Ruth Edwards, Edwin White, Mrs. Deschamps, Charles W. Moroni, Giovanni Battista Moretto da Brescia,	Londres Paris Londres, National Gallery Londres, Dudley Gallery	F Fleurs et fruits F Baigneuse inquiète F Baigneuse debout S Porträt einer alten Dame, Mrs. White (portrait d'une femme âgée, Mrs. White)
1876_18	1876-11-14	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Edwards, Ruth Edwards, Edwin		
1877_01	1877-01-19	Putney	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Luise Philippine Conradine Dubourg, Victoria Deschamps, Charles W. Edwards, Edwin Sickert, Oswald Adalbert Véronèse, Paul Giorgione Rembrandt Hals, Frans Cazin, Jean-Charles	Londres, Royal Academy of Arts Londres Paris Londres, galerie Durand-Ruel (géré par Deschamps, 1870-1875)	F Roses jaunes Falcon F Roses jaunes et roses S Mrs Tom Plews S Oswald Sickert S Dr. George Bird
1877_02	1877-02-06	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Edwards, Edwin Edwards, Ruth Scholderer, Luise Philippine Conradine Dubourg, Victoria Dubourg, Charlotte Fantin-Latour, Marie Deschamps, Charles W. Manet, Edouard Degas, Edgar	Londres, Royal Academy of Arts Paris Dresde, Gemäldegalerie Alte Meister Dresde Cassel (Hesse) Paris, Salon Bayreuth	F La lecture F La lecture F La lecture (portrait de Marie Fantin-Latour) F La liseuse, portrait de Marie Fantin-Latour F Portrait de Madame Fantin-Latour S Hof eines Bauernhauses in Kronberg (cours d'une maison paysanne à Kronberg)
1877_03	1877-04-04	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Cazin, Jean-Charles Dubourg, Victoria Sickert, Oswald Adalbert Edwards, Edwin Edwards, Ruth Scholderer, Luise Philippine Conradine Deschamps, Charles W. Degas, Edgar	Londres, Royal Academy of Arts Paris, Salon	F Duo des Troyens F Scène première du Rheingold F Scène première du Rheingold (L'or du Rhin) F Tannhäuser. Venusberg (2e planche) F Portrait de Madame Fantin-Latour F La lecture S Mrs Tom Plews S Dr. George Bird S Oswald Sickert S Hof eines Bauernhauses in Kronberg (cours d'une maison paysanne à Kronberg)
1877_04	1877-04-14	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Berlioz, Hector Dubourg, Victoria Cazin, Jean-Charles Manet, Edouard Monet, Claude Renoir, Auguste Degas, Edgar Sisley, Alfred Morisot, Berthe Pissarro, Camille Wagner, Richard Edwards, Edwin Maître, Edmond Delacroix, Eugène Scholderer, Luise Philippine Conradine Esch, Mlle Lascoux, Antoine Bazille, Frédéric Schumann, Robert Brahms, Johannes Colonne, Édouard Corot, Jean-Baptiste Camille Millet, Jean-François Ingres, Jean-Auguste-Dominique Hugo, Victor Dubourg, Charlotte	Londres, Royal Academy of Arts Londres Paris, Exposition impressionniste, 3e exposition, 6 rue Le Peletier Paris, Salon	F Scène première du Rheingold Souvenir de Bayreuth F Scène première du Rheingold F Scène finale de la Walküre F L'anniversiversaire F Tannhäuser. Venusberg (2e planche) F Portrait de Madame Fantin-Latour F La lecture S Dr. George Bird S Oswald Sickert S Mrs Tom Plews S Hof eines Bauernhauses in Kronberg (cours d'une maison paysanne à Kronberg)
1877_05	1877-07-02	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Luise Philippine Conradine Edwards, Ruth Wagner, Richard Lascoux, Antoine Edwards, Edwin Esch, Mlle Dubourg, Victoria Poe, Edgar Allan Baudelaire, Charles Legros, Alphonse Fabre Duranty, Louis Berlioz, Hector	Londres, Royal Academy of Arts Paris	F Scène première du Rheingold F Finale du Rheingold S Lesendes junges Mädchen mit weissem Hut, Kopf im Schatten (jeune femme au chapeau blanc lisant, le visage dans l'ombre)
1877_06	1877-08-31	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Dubourg, Victoria Dubourg, Charlotte Edwards, Edwin Edwards, Ruth Esch, Mlle Fabre Poe, Edgar Allan Baudelaire, Charles Rembrandt	Gand, Salon triennal Londres Cologne Bruxelles Cassel (Hesse) Gand Paris, Salon Anvers	F Portrait de Madame Fantin-Latour
1877_07	1877-10-07	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Dubourg, Victoria Scholderer, Luise Philippine Conradine Cornill, Edwards, Edwin Edwards, Ruth Esch, Mlle Legros, Alphonse Degas, Edgar Fabre Delacroix, Eugène Deschamps, Charles W. Corot, Jean-Baptiste Camille Millet, Jean-François Lhermitte, Léon Cazin, Jean-Charles Dubourg, Charlotte Dubourg, Jean-Theodore Dubourg, Hélène	Paris Francfort-sur-le-Main Paris, Salon Londres, galerie Durand-Ruel (géré par Deschamps, 1870-1875)	S Lesendes junges Mädchen mit weissem Hut, Kopf im Schatten (jeune femme au chapeau blanc lisant, le visage dans l'ombre) F Portrait de Madame Fantin-Latour F La lecture
1877_08	1877-10-20	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Edwards, Edwin Edwards, Ruth Fabre Legros, Alphonse Whistler, James Abbott MacNeill Delacroix, Eugène Manet, Edouard Degas, Edgar Lhermitte, Léon Cazin, Jean-Charles Millet, Jean-François Corot, Jean-Baptiste Camille Coutts-Lindsay, Sir Burne-Jones Leighton, Frédérick Poynter, Edward James	Gand, Salon triennal Paris, Exposition impressionniste, 2e exposition, galerie Durand-Ruel Gand Londres, Dudley Gallery Paris, Salon Londres, Grosvenor Gallery, 51a New Bond Street	F Tentation de saint Antoine F Tentation de saint Antoine F Tentation de saint Antoine F La tentation de saint Antoine F La tentation de saint Antoine F La tentation de saint Antoine
1877_09	1877-12-18	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Lascoux, Antoine Edwards, Edwin Edwards, Ruth Scholderer, Luise Philippine Conradine Wagner, Richard	Londres Londres, Dudley Gallery	S Lesendes junges Mädchen mit weissem Hut, Kopf im Schatten (jeune femme au chapeau blanc lisant, le visage dans l'ombre)
1878_01	1878-01-27	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Edwards, Edwin Edwards, Ruth Dubourg, Charlotte Dubourg, Victoria Dubourg, Jean-Theodore Dubourg, Hélène Scholderer, Emilie Scholderer, Emil Wagner, Richard Thoma, Hans Courbet, Gustave Legros, Alphonse Manet, Edouard Whistler, James Abbott MacNeill Eiser, Otto Lascoux, Antoine Maître, Edmond Fantin-Latour, Marie	Londres, Royal Academy of Arts Londres Paris Francfort-sur-le-Main Paris, Exposition Universelle, 1878 Londres, Dudley Gallery Paris, Salon Bayreuth	F Tannhäuser. Venusberg (2e planche) F Oeillets sur fond rouge F La famille Dubourg S Young Girl in a Fancy Costume (jeune femme costumée) S Lesendes junges Mädchen mit weissem Hut, Kopf im Schatten (jeune femme au chapeau blanc lisant, le visage dans l'ombre)
1878_02	1878-02	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Edwards, Ruth Thoma, Hans Legros, Alphonse Whistler, James Abbott MacNeill Lascoux, Antoine Edwards, Edwin Maître, Edmond Manet, Edouard Eiser, Otto Dubourg, Charlotte Dubourg, Victoria Dubourg, Jean-Theodore Dubourg, Hélène Esch, Mlle Scholderer, Luise Philippine Conradine	Londres, Royal Academy of Arts Londres Paris Paris, Exposition Universelle, 1878 Paris, Salon	S Young Girl in a Fancy Costume (jeune femme costumée) F La famille Dubourg F La lecture
1878_03	1878-03-31	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Esch, Mlle Scholderer, Luise Philippine Conradine Edwards, Edwin Edwards, Ruth Dubourg, Charlotte Dubourg, Jean-Theodore Dubourg, Hélène	Londres, Royal Academy of Arts Londres Paris Paris, Musée du Louvre Paris, Exposition Universelle, 1878	F La famille Dubourg F La lecture
1878_04	1878-04-09	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Luise Philippine Conradine Dubourg, Victoria Edwards, Ruth Edwards, Edwin Wallis, Mr. McLean, Thomas Agnew, William Agnew, Thomas Esch, Mlle	Londres, Royal Academy of Arts Paris Paris, Exposition Universelle, 1878 Paris, Salon	
1878_05	1878-05-01	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Lhermitte, Léon Edwards, Edwin Edwards, Ruth Esch, Mlle Cabanel Carolus-Duran Meissonier Gérôme, Jean-Léon Scholderer, Luise Philippine Conradine Dubourg, Victoria	Londres, Royal Academy of Arts Londres Paris, Exposition Universelle, 1878 Londres, Dudley Gallery Paris, Salon	S Young Girl in a Fancy Costume (jeune femme costumée) S W.H. Pole Carrew, Esq. S Wondering (étonnement) F La lecture F La famille Dubourg
1878_06	1878-05-03	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Edwards, Edwin Edwards, Ruth Millais Legros, Alphonse Whistler, James Abbott MacNeill Scholderer, Luise Philippine Conradine Dubourg, Victoria Esch, Mlle	Londres, Royal Academy of Arts Londres Paris Paris, Salon Londres, Grosvenor Gallery, 51a New Bond Street	F La lecture S Young Girl in a Fancy Costume (jeune femme costumée) S W.H. Pole Carrew, Esq. S Wondering (étonnement) F Fleurs F La famille Dubourg S The Last Chord/ Verhallende Akkorde (le dernier accord)
1878_07	1878-05-07	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Millais Edwards, Ruth Edwards, Edwin Corot, Jean-Baptiste Camille Courbet, Gustave Rousseau, Théodore Millet, Jean-François Tassaert, Octave Daubigny, Charles-François Dubourg, Victoria Esch, Mlle Goldschmidt, Madame de Israels, Jozef Maris, Jacob Mauve, Anton Henkes, Gerke Mesdag Dupré, Jules	Londres, Royal Academy of Arts Londres Paris Paris, Exposition Universelle, 1878	F La lecture
1878_08	1878-06-16	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Esch, Mlle Dubourg, Victoria Edwards, Ruth Müller, Victor Duranty, Louis Courbet, Gustave Manet, Edouard Degas, Edgar Lenbach, Franz Seraph von Lhermitte, Léon Cazin, Jean-Charles Scholderer, Emilie Scholderer, Ida Laibl Brahms, Johannes Scholderer, Luise Philippine Conradine	Londres, Royal Academy of Arts Londres Paris Paris, Exposition Universelle, 1878 Heist (Région flamande) Paris, Salon	F Hommage à Delacroix F Le toast et La vérité F La famille Dubourg S Hof eines Bauernhauses in Kronberg (cours d'une maison paysanne à Kronberg)
1878_09	1878-06-29	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Dubourg, Victoria Duranty, Louis Lhermitte, Léon Manet, Edouard Cazin, Jean-Charles Edwards, Ruth Esch, Mlle Scholderer, Luise Philippine Conradine	Paris Paris, Exposition Universelle, 1878 Lille Heist (Région flamande) Bruges	F La famille Dubourg
1878_10	1878-01-01	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Dubourg, Victoria Esch, Mlle Scholderer, Luise Philippine Conradine Millais Menzel, Adolph Lhermitte, Léon Cazin, Jean-Charles	Paris Paris, Exposition Universelle, 1878 Heist (Région flamande)	F La famille Dubourg
1878_11	1878	Heyst sur mer Hôtel du Phare Belgique	Scholderer, Otto	Fantin-Latour, Henri	Dubourg, Victoria Scholderer, Ida Schumann, Robert Scholderer, Adolphe Scholderer, Emil Eiser, Otto Scholderer, Emilie Esch, Mlle Scholderer, Luise Philippine Conradine	Paris Paris, Exposition Universelle, 1878 Lille Heist (Région flamande) Paris, Salon Anvers	F A la mémoire de Robert Schumann F La fée des Alpes F Siegfried  : acte III. Évocation d'Erda F Étoile du soir
1878_12	1878-08-02	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Durand-Ruel, Paul Dubourg, Victoria Scholderer, Luise Philippine Conradine Esch, Mlle Delacroix, Eugène Barye, Antoine-Louis Ricard, Louis Gustave Troyon, Constant Corot, Jean-Baptiste Camille Courbet, Gustave Daubigny, Charles-François Diaz de la Pena, Narcisse Rousseau, Théodore Tassaert, Octave	Londres Paris Paris, Exposition Universelle, 1878 Heist (Région flamande) Bruges Paris, Exposition rétrospective de tableaux et dessins des maîtres modernes, galerie Durand-Ruel (1878)	
1878_13	1878-09-29	Putney	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Luise Philippine Conradine Durand-Ruel, Paul Millet, Jean-François Flaubert, Gustave Balzac, Honoré de Dubourg, Victoria Esch, Mlle Eiser, Otto Scholderer, Emilie Scholderer, Ida Memling, Hans Edwards, Edwin Edwards, Ruth Dubourg, Jean-Theodore Dubourg, Hélène Dubourg, Charlotte Delacroix, Eugène Rousseau, Théodore Barye, Antoine-Louis Ricard, Louis Gustave Troyon, Constant Corot, Jean-Baptiste Camille Courbet, Gustave Daubigny, Charles-François Decamps Diaz de la Pena, Narcisse Tassaert, Octave	Paris Francfort-sur-le-Main Paris, Exposition Universelle, 1878 Bruxelles Heist (Région flamande) Bruges Paris, Exposition rétrospective de tableaux et dessins des maîtres modernes, galerie Durand-Ruel (1878) Ostende Paris, galerie Durand-Ruel Paris, Salon Douvres Wakefield Anvers	S Eselreiter und Segelboot am Dünenstrand (garçon sur un âne et voilier sur une plage de dunes) S Esel mit einem kleinen Mädchen (âne avec une petite fille) S Düne und Strand mit zwei Fischerbooten (dune et plage avec deux bateaux de pêche) S Dünenlandschaft mit drei Figuren staffiert (paysage de dune avec deux figures) S Dünenlandschaft bei Heyst in Belgien (paysage de dunes près de Heist en Belgique) S Ein Eselreiter in den Dünen (garçon sur un âne dans les dunes) S Portrait of a Lady - Flämische Bauersfrau in malerischer Nationaltracht (paysanne flamande en costume national) S Flämische Bauersfrau (paysanne flamande) S Porträt von zwei Mädchen in Wakefield (portrait de deux jeunes filles de Wakefield) S General Viscount Templetown (général vicomte Templetown)
1878_14	1878-10-23	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Durand-Ruel, Paul Edwards, Ruth Millet, Jean-François Flaubert, Gustave Eiser, Otto Edwards, Edwin Balzac, Honoré de Scholderer, Emilie Scholderer, Ida Esch, Mlle Dubourg, Victoria Delacroix, Eugène Rousseau, Théodore Barye, Antoine-Louis Ricard, Louis Gustave Troyon, Constant Corot, Jean-Baptiste Camille Courbet, Gustave Daubigny, Charles-François Diaz de la Pena, Narcisse Tassaert, Octave	Paris Francfort-sur-le-Main Paris, Exposition Universelle, 1878 Bruxelles Heist (Région flamande) Paris, Exposition rétrospective de tableaux et dessins des maîtres modernes, galerie Durand-Ruel (1878) Manchester Paris, galerie Durand-Ruel Bruxelles, Exposition générale des Beaux-Arts Wakefield Manchester, Royal Institution, 58th Exhibition of Works of Modern Artists, 1878	F La lecture F La famille Dubourg
1878_15	1878-11-06	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Dubourg, Victoria Edwards, Edwin Edwards, Ruth Mewburn, Francis Durand-Ruel, Paul Esch, Mlle Eiser, Otto Scholderer, Luise Philippine Conradine Delacroix, Eugène Millet, Jean-François Rousseau, Théodore Barye, Antoine-Louis Ricard, Louis Gustave Troyon, Constant Corot, Jean-Baptiste Camille Courbet, Gustave Daubigny, Charles-François Diaz de la Pena, Narcisse Huet, Paul Tassaert, Octave	Paris, Exposition impressionniste, 2e exposition, galerie Durand-Ruel Paris Francfort-sur-le-Main Heist (Région flamande) Paris, Exposition rétrospective de tableaux et dessins des maîtres modernes, galerie Durand-Ruel (1878) Paris, galerie Durand-Ruel Londres, Dudley Gallery Paris, Salon Wakefield	F La lecture S Kopie eines Porträts von 1856 (sic) in Frankfurt (Henriette Flersheim mit Händen) (copie d'un portrait de 1856 de Francfort (Henriette Flersheim aux mains)) S Flämische Bauersfrau (paysanne flamande) S Ein Eselreiter in den Dünen (garçon sur un âne dans les dunes)
1878_16	1878-12-18	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Dubourg, Victoria Edwards, Edwin Edwards, Ruth Millet, Jean-François Durand-Ruel, Paul Scholderer, Luise Philippine Conradine Esch, Mlle	Londres Paris Francfort-sur-le-Main Bruxelles Paris, Exposition rétrospective de tableaux et dessins des maîtres modernes, galerie Durand-Ruel (1878) Manchester Paris, galerie Durand-Ruel Paris, Salon Manchester, Royal Institution, 58th Exhibition of Works of Modern Artists, 1878	F La lecture F La famille Dubourg
1878_17	1878-12-26	Putney	Scholderer, Otto	Fantin-Latour, Henri	Millet, Jean-François Scholderer, Luise Philippine Conradine Mewburn, Francis Whistler, James Abbott MacNeill Ruskin Turner, Joseph Mallord William Esch, Mlle Edwards, Edwin Dubourg, Victoria	Londres, Royal Academy of Arts Paris Munich Francfort-sur-le-Main Heist (Région flamande) Paris, Salon Londres, Grosvenor Gallery, 51a New Bond Street Wakefield	S Porträt von zwei Mädchen in Wakefield (portrait de deux jeunes filles de Wakefield) S Kopie eines Porträts von 1856 (sic) in Frankfurt (Henriette Flersheim mit Händen) (copie d'un portrait de 1856 de Francfort (Henriette Flersheim aux mains))
1878_18	1878-12-27	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Mewburn, Francis Whistler, James Abbott MacNeill Dubourg, Victoria Scholderer, Luise Philippine Conradine Menzel, Adolph Ruskin	Paris Francfort-sur-le-Main Londres, Grosvenor Gallery, 51a New Bond Street	
1878_19	1878-12-29	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Dubourg, Victoria Scholderer, Luise Philippine Conradine Esch, Mlle Mewburn, Francis Whistler, James Abbott MacNeill Ruskin Menzel, Adolph	Paris Francfort-sur-le-Main Londres, Grosvenor Gallery, 51a New Bond Street	S Kopie eines Porträts von 1856 (sic) in Frankfurt (Henriette Flersheim mit Händen) (copie d'un portrait de 1856 de Francfort (Henriette Flersheim aux mains))
1879_01	1879-01-04	Paris	Fantin-Latour, Henri	Scholderer, Otto	Scholderer, Luise Philippine Conradine Esch, Mlle Eiser, Otto Wagner, Richard	Paris Francfort-sur-le-Main Paris, Salon	
1879_02	1879-01-12	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Luise Philippine Conradine Dubourg, Victoria Scholderer, Emilie Scholderer, Ida Menzel, Adolph Goethe, Johann Wolfgang von Esch, Mlle	Londres, Royal Academy of Arts Paris Francfort-sur-le-Main Paris, Salon	S Portrait of a Lady - Flämische Bauersfrau in malerischer Nationaltracht (paysanne flamande en costume national)
1879_03	1879-01-23	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Menzel, Adolph		
1879_04	1879-01-23	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Menzel, Adolph Cornelius, Peter von Thoma, Hans Beethoven, Ludwig van Bach, Johann Sebastian Schumann, Robert Becker von Worms, Jakob Dubourg, Victoria Esch, Mlle Eiser, Otto Wagner, Richard Scholderer, Luise Philippine Conradine	Paris, Musée du Louvre Francfort sur le Main, Städelsches Kunstinstitut Francfort-sur-le-Main	
1879_05	1879-02-18	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Luise Philippine Conradine Dubourg, Victoria Thoma, Hans Wagner, Richard Beethoven, Ludwig van Mozart, Wolfgang Amadeus Eiser, Otto Goethe, Johann Wolfgang von Berlioz, Hector Menzel, Adolph Cornelius, Peter von Edwards, Edwin Edwards, Ruth Wilt, Marianne Goff, Esch, Mlle	Londres, Royal Academy of Arts Londres Paris Francfort-sur-le-Main Paris, Exposition Universelle, 1878 Paris, Salon	S Bildnis der Mutter des Künstlers (portrait de la mère de l'artiste)
1879_06	1879-02-24	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Menzel, Adolph Edwards, Ruth Schumann, Robert Callimaki-Catargi, Eva Riesener, Mlle Berlioz, Hector Wagner, Richard Eiser, Otto Thoma, Hans Goff, Esch, Mlle Goethe, Johann Wolfgang von Edwards, Edwin Scholderer, Luise Philippine Conradine Dubourg, Victoria	Paris, Salon	F Portraits ou la leçon de dessin dans l'atelier F Duo des Troyens F Étoile du soir F Manfred et Astarté F La famille Dubourg F Duo des Troyens F Début de la Walkyrie F Scène finale de la Walküre F Manfred et Astarté F Duo des Troyens S Hof eines Bauernhauses in Kronberg (cours d'une maison paysanne à Kronberg)
1879_07	1879-03-14	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Edwards, Edwin Edwards, Ruth Cornelius, Peter von Menzel, Adolph Scholderer, Luise Philippine Conradine David, Jacques-Louis Steen, Jan Hals, Franz Holbein Bellini, Giovanni Giorgione Balzac, Honoré de Dubourg, Victoria Esch, Mlle Gellée, Claude Richter, Jean-Paul	Londres, Royal Academy of Arts Francfort-sur-le-Main	F Duo des Troyens F Scène finale de la Walküre F Manfred et Astarté F Étoile du soir F Début de la Walkyrie S Porträt der Luise Scholderer (portrait de Luise Scholderer)
1879_08	1879-03-22	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Esch, Mlle Sickert, Oswald Adalbert Müller, Victor Dubourg, Victoria Scholderer, Luise Philippine Conradine	Londres Paris	S Oswald Sickert
1879_09	1879-04-07	Putney	Scholderer, Otto	Fantin-Latour, Henri	Millais Edwards, Edwin Edwards, Ruth Ruskin Esch, Mlle Scholderer, Luise Philippine Conradine Sickert, Oswald Adalbert Fabre Whistler	Londres Paris	
