ID	Auteur	No de catalogue	Titre	Date	Technique	Dimensions	Lieu de conservation	Renvoi dans lettre no
#17705	Fantin	F.518	Le Jugement de Pâris	1871	huile sur toile	21,7 x 21,5 cm	non localisé	1871_01
#17706	Fantin	F.576	Lilas dans un verre	1872	huile sur toile		Collection particulière	1872_02 1872_04
#18366	Fantin	F.577	Un coin de table	1872	huile sur toile	160 x 225 cm		1871_07 1871_09 1872_01 1872_02 1872_03 1872_04 1873_01 1873_02 1897_01
#17707	Fantin	F.606	Lilas (lilas dans une boule de verre, sur fond clair)	1872	huile sur toile		non localisé	1872_02
#17708	Fantin	F.615	Aubépines roses dans un verre à champagne	1872	huile sur toile	38,5 x 23,5 cm	non localisé	1873_02
#17667	Fantin	F.62	Étude de femme Dans la pose de l'Antiope du Corrège, faite en plein air	1856	huile sur toile	non localisé		1874_06
#17668	Fantin	F.63	Étude (Fantin d'après lui-même, en plein air au moyen d'une glace)	1856	huile sur toile		non localisé	1874_06
#17709	Fantin	F.635	Chrysanthèmes jaunes dans un pot de terre	1872	huile sur toile	50,5 x 43,5 cm	non localisé	1873_02
#17669	Fantin	F.64	Portrait de l'artiste Alphonse Legros	1856	huile sur toile	25 x 22 cm	Minneapolis, The Minneapolis Institute of Art	1874_06
#17711	Fantin	F.647	Portrait de Victoria Dubourg	1873	huile sur toile	92,5 x 76 cm	Paris, musée d’Orsay	1873_03 1873_04 1873_05 1874_01 1874_02
#17712	Fantin	F.658	Femme de dos Étude pour un tableau projeté en hommage à Schumann	1873	huile sur toile		non localisé	1873_03
#17713	Fantin	F.666	Étude Femme jetant des fleurs	1873	huile sur toile		non localisé	1873_03
#18401	Fantin	F.667	Étude Étude pour un tableau projeté en l'honneur de Schumann	1873	huile sur toile	25 x 19 cm	non localisé	1873_03
#18400	Fantin	F.668	A la mémoire de Robert Schumann	1873	peinture sur carton paqueté	29,5 x 17,5 cm	non localisé	1873_03
