fichier,résultat
sentence485,négatif
sentence486,neutral
sentence487,positif
sentence488,neutral
sentence489,positif
sentence490,neutral
sentence491,neutral
sentence492,négatif
sentence493,neutral
sentence494,neutral
sentence495,neutral
sentence496,positif
sentence497,neutral
sentence498,neutral
sentence499,négatif
sentence500,neutral
sentence501,positif
sentence502,neutral
sentence503,positif
sentence504,positif
sentence505,négatif
sentence506,neutral
sentence507,négatif
sentence508,neutral
sentence509,neutral
sentence510,neutral
sentence511,neutral
sentence512,négatif
sentence513,neutral
sentence514,neutral
sentence515,neutral
sentence516,neutral
sentence517,négatif
sentence518,positif
sentence519,négatif
sentence520,neutral
sentence521,négatif
sentence522,négatif
sentence523,positif
sentence524,neutral
sentence525,positif
sentence526,négatif
sentence527,positif
sentence528,négatif
sentence529,neutral
sentence530,neutral
sentence531,négatif
sentence532,neutral
sentence533,neutral
sentence534,positif
sentence535,neutral
sentence536,négatif
sentence537,positif
sentence538,négatif
sentence539,neutral
sentence540,neutral
sentence541,neutral
sentence542,négatif
sentence543,neutral
sentence544,positif
sentence545,positif
sentence546,neutral
sentence547,négatif
sentence548,négatif
sentence549,négatif
sentence550,positif
sentence551,positif
sentence552,positif
sentence553,positif
sentence554,négatif
sentence555,neutral
sentence556,négatif
sentence557,négatif
sentence558,négatif
sentence559,positif
sentence560,positif
sentence561,négatif
sentence562,négatif
sentence563,neutral
sentence564,positif
sentence565,négatif
sentence566,négatif
sentence567,positif
sentence568,positif
sentence569,négatif
sentence570,neutral
sentence571,neutral
sentence572,neutral
sentence573,neutral
sentence574,négatif
sentence575,neutral
sentence576,négatif
sentence577,positif
sentence578,neutral
sentence579,positif
sentence580,neutral
sentence581,négatif
sentence582,positif
sentence583,positif
sentence584,négatif
sentence585,positif
sentence586,positif
sentence587,positif
sentence588,négatif
sentence589,neutral
sentence590,négatif
sentence591,négatif
sentence592,neutral
sentence593,positif
sentence594,négatif
sentence595,neutral
sentence596,positif
sentence597,positif
sentence598,négatif
sentence599,négatif
sentence600,négatif
sentence601,neutral
sentence602,positif
sentence603,positif
sentence604,neutral
sentence605,positif
sentence606,négatif
sentence607,neutral
sentence608,neutral
sentence609,neutral
sentence610,neutral
