,url,long,lat
86,https://www.geonames.org/2984114,4.02853,49.26526
87,https://www.geonames.org/2825922,13.09548,53.33235
88,https://www.geonames.org/2969544,1.70351,49.06199
89,https://www.geonames.org/3024066,2.82606,49.41794
90,https://www.geonames.org/2520600,-6.2891,36.52672
91,https://www.geonames.org/3093692,16.1619,51.21006
92,https://www.geonames.org/756135,21.01178,52.22977
93,https://www.geonames.org/2820919,10.38598,48.69059
94,https://www.geonames.org/2877878,6.5418,51.16651
95,https://www.geonames.org/4736286,-99.25061,31.25044
96,https://www.geonames.org/2803138,4.40026,51.22047
97,https://www.geonames.org/2969288,3.39643,48.89667
98,https://www.geonames.org/2977356,4.94385,45.69651
99,https://www.geonames.org/2978621,2.41579,48.83864
100,https://www.geonames.org/2794055,3.26487,50.82803
101,https://www.geonames.org/3169070,12.51133,41.89193
102,https://www.geonames.org/2509954,-0.37739,39.46975
103,https://www.geonames.org/3026083,2.29346,48.8024
104,https://www.geonames.org/2790111,4.54767,50.07523
105,https://www.geonames.org/3038354,5.44973,43.5283
106,https://www.geonames.org/2934246,6.77616,51.22172
107,https://www.geonames.org/2832708,7.22608,50.68066
108,https://www.geonames.org/2987375,2.8,49.63333
109,https://www.geonames.org/2485926,-0.63588,35.69906
110,https://www.geonames.org/3173331,10.92539,44.64783
111,https://www.geonames.org/2975758,-0.07808,47.25931
112,https://www.geonames.org/3008607,-1.00955,46.12888
113,https://www.geonames.org/2986140,2.1,49.05
114,https://www.geonames.org/2972290,1.5,47.2
115,https://www.geonames.org/1275004,88.36304,22.56263
116,https://www.geonames.org/3171728,11.88586,45.40797
117,https://www.geonames.org/3014075,2.66022,50.39005
118,https://www.geonames.org/3034006,2.08333,49.43333
119,https://www.geonames.org/2758401,4.77596,51.58656
120,https://www.geonames.org/2975088,2.58661,49.20724
121,https://www.geonames.org/2971549,4.08524,48.30073
122,https://www.geonames.org/2463678,19.85231,39.59828
123,https://www.geonames.org/3009485,3.12885,49.17453
124,https://www.geonames.org/2995605,2.41162,48.81641
125,https://www.geonames.org/3077650,13.20271,49.65408
126,https://www.geonames.org/2944388,8.80717,53.07582
127,https://www.geonames.org/3066313,13.71333,50.48374
128,https://www.geonames.org/2911298,9.99302,53.55073
129,https://www.geonames.org/2241717,12.42563,-6.07746
130,https://www.geonames.org/3007477,3.62714,49.5631
131,https://www.geonames.org/3723988,-72.29616,19.07582
132,https://www.geonames.org/2992090,2.44322,48.86415
133,https://www.geonames.org/3078198,14.5,50
134,https://www.geonames.org/2866694,6.47747,51.25372
135,https://www.geonames.org/3038699,1.97924,49.55672
136,https://www.geonames.org/2935825,6.83167,51.09683
137,https://www.geonames.org/2874545,11.62916,52.12773
138,https://www.geonames.org/2979054,6.2024,49.13288
139,https://www.geonames.org/2993024,2.73261,47.99696
140,https://www.geonames.org/2789786,2.927,51.21551
141,https://www.geonames.org/2923544,10.98856,49.47593
142,https://www.geonames.org/3106672,-4.72372,41.65518
143,https://www.geonames.org/303584,29.23071,37.22283
144,https://www.geonames.org/2874225,8.2791,49.98419
145,https://www.geonames.org/3029938,2.49702,48.1866
146,https://www.geonames.org/2812482,11.32903,50.9803
147,https://www.geonames.org/3076136,12.35174,50.12033
148,https://www.geonames.org/3030293,-2.83333,48.16667
149,https://www.geonames.org/2915589,12.18345,51.21668
150,https://www.geonames.org/3030114,1.77937,47.99847
151,https://www.geonames.org/2917540,6.5827,51.09102
152,https://www.geonames.org/2810678,6.62037,51.6669
153,https://www.geonames.org/3017906,2.77542,48.10365
154,https://www.geonames.org/3030101,2.6109,48.69247
155,https://www.geonames.org/6251999,-113.64258,60.10867
156,https://www.geonames.org/3167022,8.47715,44.30905
157,https://www.geonames.org/3035681,4.80892,43.94834
158,https://www.geonames.org/3064288,13.82451,50.6404
159,https://www.geonames.org/10376243,15.214,38.79119
160,https://www.geonames.org/2809866,6.62236,51.10583
161,https://www.geonames.org/2523227,9,40
162,https://www.geonames.org/2838587,6.53481,51.13865
163,https://www.geonames.org/2955272,9.15214,49.97704
164,https://www.geonames.org/2975469,2.29026,48.77644
165,https://www.geonames.org/2988797,-2.03048,47.28654
166,https://www.geonames.org/2971053,4.90956,44.9256
167,https://www.geonames.org/2918752,10.70193,50.94823
168,https://www.geonames.org/3173435,9.18951,45.46427
169,https://www.geonames.org/2963597,-8,53
170,https://www.geonames.org/3033123,6.01815,47.24878
171,https://www.geonames.org/3034610,2.3219,48.8835
172,https://www.geonames.org/2979475,3.85597,43.96562
173,https://www.geonames.org/2847585,6.45022,51.16363
